,game_id,event,site,date,round,white,white_elo,black,black_elo,result,eco,opening_name
65,2016_Carlsen_Karjakin_game11,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-26,11,Sergey Karjakin,?,Magnus Carlsen,?,1/2-1/2,C78,Ruy Lopez
66,2016_Carlsen_Karjakin_game12,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-28,12,Magnus Carlsen,?,Sergey Karjakin,?,1/2-1/2,C67,Ruy Lopez
67,2016_Carlsen_Karjakin_game13,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-30,13.1,Sergey Karjakin,?,Magnus Carlsen,?,1/2-1/2,C78,Ruy Lopez
68,2016_Carlsen_Karjakin_game14,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-30,13.2,Magnus Carlsen,?,Sergey Karjakin,?,1/2-1/2,C50,Giuoco Piano
69,2016_Carlsen_Karjakin_game15,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-30,13.3,Sergey Karjakin,?,Magnus Carlsen,?,0-1,C78,Ruy Lopez
70,2016_Carlsen_Karjakin_game16,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-30,13.4,Magnus Carlsen,?,Sergey Karjakin,?,1-0,B54,Sicilian
71,2000_Kasparov_Kramnik_game1,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-08,1,Garry Kasparov,2849,Vladimir Kramnik,2770,1/2-1/2,C67,Ruy Lopez
72,2000_Kasparov_Kramnik_game2,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-10,2,Vladimir Kramnik,2770,Garry Kasparov,2849,1-0,D85,Grunfeld
73,2000_Kasparov_Kramnik_game3,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-12,3,Garry Kasparov,2849,Vladimir Kramnik,2770,1/2-1/2,C67,Ruy Lopez
74,2000_Kasparov_Kramnik_game4,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-14,4,Vladimir Kramnik,2770,Garry Kasparov,2849,1/2-1/2,D27,"Queen's Gambit Accepted, Classical"
75,2000_Kasparov_Kramnik_game5,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-15,5,Garry Kasparov,2849,Vladimir Kramnik,2770,1/2-1/2,A30,"English, Symmetrical"
76,2000_Kasparov_Kramnik_game6,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-17,6,Vladimir Kramnik,2770,Garry Kasparov,2849,1/2-1/2,D27,"Queen's Gambit Accepted, Classical"
77,2000_Kasparov_Kramnik_game7,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-19,7,Garry Kasparov,2849,Vladimir Kramnik,2770,1/2-1/2,A31,"English, Symmetrical, Benoni Formation"
78,2000_Kasparov_Kramnik_game8,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-21,8,Vladimir Kramnik,2770,Garry Kasparov,2849,1/2-1/2,E32,"Nimzo-Indian, Classical"
79,2000_Kasparov_Kramnik_game9,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-22,9,Garry Kasparov,2849,Vladimir Kramnik,2770,1/2-1/2,C67,Ruy Lopez
80,2000_Kasparov_Kramnik_game10,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-24,10,Vladimir Kramnik,2770,Garry Kasparov,2849,1-0,E53,"Nimzo-Indian, 4.e3"
81,2000_Kasparov_Kramnik_game11,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-26,11,Garry Kasparov,2849,Vladimir Kramnik,2770,1/2-1/2,C78,Ruy Lopez
82,2000_Kasparov_Kramnik_game12,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-28,12,Vladimir Kramnik,2770,Garry Kasparov,2849,1/2-1/2,E55,"Nimzo-Indian, 4.e3, Gligoric System, Bronstein Variation"
83,2000_Kasparov_Kramnik_game13,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-29,13,Garry Kasparov,2849,Vladimir Kramnik,2770,1/2-1/2,C67,Ruy Lopez
84,2000_Kasparov_Kramnik_game14,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-10-31,14,Vladimir Kramnik,2770,Garry Kasparov,2849,1/2-1/2,A15,English
85,2000_Kasparov_Kramnik_game15,Kasparov - Kramnik Classical World Championship Match,London ENG,2000-11-02,15,Garry Kasparov,2849,Vladimir Kramnik,2770,1/2-1/2,E06,"Catalan, Closed, 5.Nf3"
86,2010_Anand_Topalov_game1,Anand - Topalov World Championship Match,Sofia BUL,2010-04-24,1,Veselin Topalov,2805,Viswanathan Anand,2787,1-0,D86,"Grunfeld, Exchange"
87,2010_Anand_Topalov_game2,Anand - Topalov World Championship Match,Sofia BUL,2010-04-25,2,Viswanathan Anand,2787,Veselin Topalov,2805,1-0,E04,"Catalan, Open, 5.Nf3"
88,2010_Anand_Topalov_game3,Anand - Topalov World Championship Match,Sofia BUL,2010-04-27,3,Veselin Topalov,2805,Viswanathan Anand,2787,1/2-1/2,D17,Queen's Gambit Declined Slav
89,2010_Anand_Topalov_game4,Anand - Topalov World Championship Match,Sofia BUL,2010-04-28,4,Viswanathan Anand,2787,Veselin Topalov,2805,1-0,E04,"Catalan, Open, 5.Nf3"
90,2010_Anand_Topalov_game5,Anand - Topalov World Championship Match,Sofia BUL,2010-04-30,5,Veselin Topalov,2805,Viswanathan Anand,2787,1/2-1/2,D17,Queen's Gambit Declined Slav
91,2010_Anand_Topalov_game6,Anand - Topalov World Championship Match,Sofia BUL,2010-05-01,6,Viswanathan Anand,2787,Veselin Topalov,2805,1/2-1/2,E04,"Catalan, Open, 5.Nf3"
